from_station_name,to_station_name,month,year,sum_values_pass
פאתי מודיעין,תל אביב ההגנה,11,2025,2822
כפר ברוך,באר שבע צפון,11,2025,33
חדרה מערב,ראשונים,11,2025,142
חולון וולפסון,"רשל""צ משה דיין",11,2025,581
בת גלים,בית יהושע,11,2025,717
נהריה,השלום,11,2025,8962
כפר ברוך,תל אביב ההגנה,11,2025,244
תל אביב ההגנה,כפר יהושע,11,2025,313
אחיהוד,בנימינה,11,2025,58
עכו,כפר יהושע,11,2025,142
"רשל""צ משה דיין",הרצליה,11,2025,1881
מזכרת בתיה,סגולה,11,2025,31
סגולה,צומת חולון,11,2025,142
