Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2026,1,שישי,4600,השלום,6708,05:13:00,3.0,34.0
2026,1,שישי,7300,באר שבע צפון,6841,05:13:00,0.0,1.0
2025,12,יום חול,3700,תל אביב מרכז,12,05:14:00,286.0,168.0
2026,1,יום חול,3700,תל אביב מרכז,12,05:14:00,316.0,139.0
2025,12,שישי,3600,תא אוניברסיטה,6220,05:16:00,7.0,11.0
2025,12,שישי,4900,תל אביב ההגנה,6012,05:16:00,58.0,18.0
2025,12,שישי,4900,,6012,05:16:00,,
2026,1,שישי,4900,תל אביב ההגנה,6012,05:16:00,67.0,43.0
2026,1,שישי,3600,תא אוניברסיטה,6220,05:16:00,7.0,6.0
2025,12,שישי,3700,תל אביב מרכז,6019,05:17:00,49.0,0.0
2026,1,שישי,3700,תל אביב מרכז,6019,05:17:00,57.0,0.0
2025,12,שישי,3700,תל אביב מרכז,6708,05:18:00,4.0,68.0
2026,1,יום חול,3500,,7,05:18:00,,
2026,1,שישי,3700,תל אביב מרכז,6708,05:18:00,2.0,90.0
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,101,05:19:00,618.0,302.0
2025,12,יום חול,3700,תל אביב מרכז,953,05:19:00,100.0,0.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,101,05:19:00,561.0,262.0
2026,1,יום חול,3700,תל אביב מרכז,953,05:19:00,80.0,0.0
2026,1,יום חול,5410,,222,05:19:00,,
2026,1,שישי,5900,אשקלון,6843,05:19:00,1.0,0.0
2025,12,יום חול,7300,באר שבע צפון,841,05:20:00,2.0,9.0
2025,12,שישי,5800,אשדוד עד הלום,6843,05:20:00,0.0,9.0
2025,12,שישי,5900,אשקלון,6609,05:20:00,8.0,0.0
2026,1,יום חול,7300,באר שבע צפון,841,05:20:00,0.0,13.0
2026,1,שישי,5900,אשקלון,6609,05:20:00,5.0,0.0
2025,12,יום חול,2300,חוף הכרמל,10,05:21:00,50.0,411.0
2025,12,שישי,4600,,6012,05:21:00,,
2025,12,שישי,2300,חוף הכרמל,6010,05:21:00,11.0,94.0
2025,12,שישי,4600,השלום,6012,05:21:00,67.0,5.0
2026,1,יום חול,2300,,1010,05:21:00,,
2026,1,יום חול,2300,חוף הכרמל,1010,05:21:00,6.0,14.0
2026,1,יום חול,2300,חוף הכרמל,10,05:21:00,48.0,341.0
2026,1,שישי,2300,חוף הכרמל,6010,05:21:00,13.0,139.0
2026,1,שישי,4600,השלום,6012,05:21:00,97.0,14.0
2026,1,שישי,2300,חוף הכרמל,8010,05:21:00,9.0,0.0
2025,12,יום חול,3500,הרצליה,12,05:22:00,120.0,173.0
2025,12,שישי,3600,תא אוניברסיטה,6708,05:22:00,1.0,13.0
2025,12,שישי,3500,הרצליה,6220,05:22:00,6.0,53.0
2025,12,שישי,4600,השלום,6019,05:22:00,44.0,0.0
2026,1,יום חול,3500,הרצליה,12,05:22:00,123.0,118.0
2026,1,יום חול,3500,,12,05:22:00,,
2026,1,שישי,3500,הרצליה,6220,05:22:00,25.0,47.0
2026,1,שישי,3600,תא אוניברסיטה,6708,05:22:00,0.0,12.0
2026,1,שישי,4600,השלום,6019,05:22:00,78.0,2.0
2025,12,יום חול,4900,,220,05:23:00,,
2025,12,יום חול,4900,תל אביב ההגנה,1220,05:23:00,94.0,1.0
2025,12,יום חול,4600,השלום,953,05:23:00,64.0,2.0
2025,12,יום חול,4900,תל אביב ההגנה,220,05:23:00,373.0,0.0
2025,12,שישי,3700,תל אביב מרכז,6611,05:23:00,37.0,0.0
2026,1,יום חול,4600,השלום,953,05:23:00,44.0,1.0
2026,1,יום חול,4900,תל אביב ההגנה,1220,05:23:00,108.0,1.0
2026,1,שישי,3700,תל אביב מרכז,6611,05:23:00,33.0,0.0
2026,1,יום חול,4900,תל אביב ההגנה,220,05:23:00,444.0,1.0
2025,12,יום חול,1500,,151,05:24:00,,
2025,12,יום חול,5900,אשקלון,609,05:26:00,26.0,0.0
2025,12,יום חול,5900,,616,05:26:00,,
2025,12,שישי,3700,תל אביב מרכז,6012,05:26:00,130.0,28.0
2025,12,שישי,4600,השלום,6611,05:26:00,37.0,1.0
2026,1,יום חול,5900,אשקלון,609,05:26:00,34.0,0.0
2026,1,שישי,4600,השלום,6611,05:26:00,63.0,0.0
2026,1,שישי,3700,תל אביב מרכז,6012,05:26:00,117.0,40.0
2025,12,יום חול,2300,חוף הכרמל,1010,05:27:00,17.0,105.0
2026,1,יום חול,2300,חוף הכרמל,1010,05:27:00,11.0,29.0
