FromStationName,ToStationName,Month,Year,SUM_Values_Pass
חיפה מרכז,ראשונים,11,2025,138
כפר ברוך,"רשל""צ משה דיין",11,2025,53
קיסריה פרדס חנה,עפולה,10,2025,59
באר יעקב,קיסריה פרדס חנה,11,2025,399
"נתב""ג",מרכזית המפרץ/קו החוף,11,2025,3763
בת גלים,רחובות,10,2025,637
אופקים,נהריה,11,2025,307
באר שבע מרכז,בנימינה,11,2025,2605
חוצות מפרץ,תא אוניברסיטה,11,2025,1487
להבים רהט,ירושלים/יצחק נבון,10,2025,392
ראשונים,הרצליה,11,2025,274
רמלה,נתניה קריית ספיר,10,2025,54
בנימינה,בית יהושע,11,2025,1009
"נתב""ג",שדרות,11,2025,402
דימונה,רחובות,11,2025,18
בת ים קוממיות,להבים רהט,11,2025,20
חדרה מערב,בית שמש,10,2025,244
רחובות,קרית מוצקין,11,2025,645
נתניה,קרית מלאכי,10,2025,214
הרצליה,נתניה,11,2025,8255
רעננה מערב,קרית חיים,11,2025,14
נתניה,ראשונים,11,2025,183
לוד גני אביב,כרמיאל,11,2025,44
בית שאן,בת ים קוממיות,10,2025,54
חיפה מרכז,רעננה דרום,11,2025,118
קרית גת,אופקים,10,2025,115
לוד גני אביב,קרית אריה,10,2025,20
עתלית,רעננה דרום,10,2025,19
תא אוניברסיטה,תל אביב ההגנה,11,2025,6675
אשקלון,בית שאן,10,2025,134
רחובות,כפר סבא,11,2025,602
"נתב""ג",אשדוד עד הלום,11,2025,3207
קיסריה פרדס חנה,כרמיאל,10,2025,193
מזכרת בתיה,חוף הכרמל,10,2025,430
באר שבע מרכז,נתניה קריית ספיר,11,2025,898
פאתי מודיעין,באר שבע צפון,11,2025,62
כפר ברוך,להבים רהט,11,2025,10
בת ים קוממיות,צומת חולון,11,2025,80
בית שאן,בני ברק,10,2025,21
באר שבע צפון,יבנה מזרח,11,2025,50
חוף הכרמל,סגולה,11,2025,407
קרית חיים,שדרות,11,2025,21
"רשל""צ משה דיין",חיפה מרכז,10,2025,418
רמלה,נתניה,11,2025,626
קרית חיים,בני ברק,10,2025,23
מזכרת בתיה,יבנה מזרח,10,2025,1
אשדוד עד הלום,שדרות,11,2025,3418
תל אביב מרכז,רעננה מערב,11,2025,4313
פאתי מודיעין,נהריה,11,2025,349
יבנה מזרח,קרית חיים,11,2025,17
קיסריה פרדס חנה,הוד השרון,11,2025,254
כפר ברוך,בני ברק,10,2025,14
חיפה מרכז,פאתי מודיעין,10,2025,290
ראשונים,חדרה מערב,11,2025,130
תל אביב ההגנה,חיפה מרכז,11,2025,2854
רעננה דרום,חוצות מפרץ,10,2025,10
הוד השרון,קרית מוצקין,11,2025,190
השלום,כפר ברוך,11,2025,1204
אופקים,ראשונים,10,2025,2
קרית מוצקין,לוד,10,2025,649
ראש העין צפון,באר שבע צפון,10,2025,350
"נתב""ג",צומת חולון,11,2025,295
באר שבע צפון,שדרות,10,2025,1135
להבים רהט,חוצות מפרץ,10,2025,12
כפר חבד,כפר יהושע,11,2025,16
קיסריה פרדס חנה,"נתב""ג",10,2025,779
מודיעין מרכז,ראש העין צפון,11,2025,109
אופקים,קרית גת,11,2025,124
פאתי מודיעין,אחיהוד,10,2025,6
ראש העין צפון,קרית גת,10,2025,197
בית שמש,נהריה,10,2025,333
נתיבות,קרית מלאכי,11,2025,39
בת ים קוממיות,חדרה מערב,10,2025,177
תל אביב ההגנה,בת ים יוספטל,11,2025,997
בית יהושע,רעננה דרום,10,2025,6
חוף הכרמל,כפר יהושע,11,2025,1550
"רשל""צ משה דיין",אשקלון,11,2025,7776
קיסריה פרדס חנה,צומת חולון,11,2025,96
כפר סבא,בית יהושע,11,2025,75
בית שמש,קרית מלאכי,11,2025,23
חוף הכרמל,תל אביב ההגנה,10,2025,5499
שדרות,"רשל""צ משה דיין",11,2025,1244
בת ים קוממיות,מודיעין מרכז,10,2025,80
קרית מוצקין,עכו,11,2025,4327
לוד גני אביב,תל אביב ההגנה,10,2025,2408
תא אוניברסיטה,עתלית,11,2025,1923
כרמיאל,קרית גת,10,2025,370
להבים רהט,אשדוד עד הלום,10,2025,25
פאתי מודיעין,"נתב""ג",11,2025,1844
ירושלים/יצחק נבון,נהריה,11,2025,4974
כרמיאל,חוצות מפרץ,11,2025,2716
לוד,פאתי מודיעין,11,2025,47
כפר חבד,דימונה,10,2025,3
חוצות מפרץ,הרצליה,11,2025,290
ראשונים,תא אוניברסיטה,11,2025,508
קרית מוצקין,ראשונים,10,2025,97
עכו,השלום,10,2025,3419
אשקלון,בת ים יוספטל,11,2025,3635
בת ים קוממיות,תל אביב ההגנה,10,2025,584
מזכרת בתיה,נתיבות,10,2025,16
פאתי מודיעין,באר שבע מרכז,10,2025,66
פאתי מודיעין,קרית מוצקין,11,2025,214
עכו,אופקים,10,2025,108
שדרות,רמלה,11,2025,85
לוד גני אביב,שדרות,11,2025,17
לוד גני אביב,בת גלים,11,2025,42
בת גלים,תא אוניברסיטה,11,2025,4792
קרית גת,רמלה,11,2025,1411
"רשל""צ משה דיין",כפר יהושע,11,2025,46
יבנה מזרח,רמלה,10,2025,11
קרית גת,חוצות מפרץ,11,2025,52
סגולה,ירושלים/יצחק נבון,11,2025,436
עתלית,קרית אריה,10,2025,98
צומת חולון,בת ים קוממיות,11,2025,72
שדרות,רעננה דרום,11,2025,175
כרמיאל,כפר חבד,11,2025,257
הוד השרון,תל אביב מרכז,10,2025,4906
אופקים,יבנה מערב,11,2025,950
לוד,אחיהוד,10,2025,89
ירושלים/יצחק נבון,בנימינה,10,2025,8195
בת ים קוממיות,באר שבע צפון,10,2025,187
כפר ברוך,קרית מלאכי,10,2025,18
ראשונים,תל אביב ההגנה,10,2025,132
רמלה,בית שמש,10,2025,1123
בת ים יוספטל,תא אוניברסיטה,10,2025,2503
כרמיאל,חולון וולפסון,10,2025,113
לוד גני אביב,נתניה קריית ספיר,10,2025,57
עתלית,כפר יהושע,11,2025,208
באר שבע צפון,הרצליה,11,2025,3857
חוף הכרמל,בני ברק,11,2025,451
תל אביב ההגנה,צומת חולון,11,2025,93
קיסריה פרדס חנה,ירושלים/יצחק נבון,11,2025,2280
קרית מוצקין,דימונה,10,2025,6
כפר ברוך,ראש העין צפון,10,2025,18
אשקלון,באר יעקב,10,2025,864
קרית אריה,אשדוד עד הלום,10,2025,1688
קרית מוצקין,אשדוד עד הלום,10,2025,519
חוף הכרמל,אשקלון,11,2025,1113
שדרות,ירושלים/יצחק נבון,11,2025,747
קרית גת,קרית מוצקין,11,2025,315
כפר יהושע,נתניה קריית ספיר,10,2025,45
בת גלים,בת ים קוממיות,10,2025,125
נתניה קריית ספיר,רחובות,10,2025,1213
יבנה מערב,רעננה מערב,10,2025,203
נתיבות,בת ים קוממיות,11,2025,221
יבנה מערב,בית שמש,10,2025,90
נתניה,"נתב""ג",10,2025,8447
אשקלון,קרית מוצקין,11,2025,645
כרמיאל,חיפה מרכז,11,2025,8134
"נתב""ג",בית שאן,11,2025,579
אחיהוד,בית יהושע,10,2025,16
באר שבע צפון,בת ים קוממיות,11,2025,212
בת גלים,בית שמש,11,2025,156
צומת חולון,הרצליה,11,2025,302
אופקים,דימונה,11,2025,1
באר שבע מרכז,קיסריה פרדס חנה,10,2025,411
באר שבע מרכז,ראש העין צפון,11,2025,1309
קיסריה פרדס חנה,פאתי מודיעין,11,2025,115
עכו,נתיבות,10,2025,54
אשדוד עד הלום,רחובות,11,2025,9819
עכו,בית יהושע,10,2025,210
אשקלון,פאתי מודיעין,11,2025,137
קרית מוצקין,השלום,10,2025,9458
נתיבות,יבנה מערב,10,2025,716
באר שבע צפון,סגולה,10,2025,192
חוף הכרמל,ירושלים/יצחק נבון,10,2025,6966
בנימינה,ראש העין צפון,11,2025,598
נתניה קריית ספיר,באר שבע צפון,10,2025,245
לוד,קרית אריה,11,2025,210
רמלה,עכו,11,2025,380
מרכזית המפרץ/קו החוף,רחובות,10,2025,772
