FromStationName,ToStationName,Month,Year,SUM_Values_Pass
אחיהוד,מודיעין מרכז,2,2026,31
קרית מלאכי,יבנה מערב,2,2026,6
פאתי מודיעין,קרית חיים,2,2026,55
חוצות מפרץ,חולון וולפסון,2,2026,115
"רשל""צ משה דיין",תל אביב ההגנה,2,2026,2614
כרמיאל,באר יעקב,2,2026,84
כרמיאל,נתיבות,2,2026,79
חיפה מרכז,אופקים,2,2026,61
חוצות מפרץ,בני ברק,2,2026,93
כפר סבא,בית שאן,2,2026,59
עכו,באר שבע צפון,2,2026,342
בנימינה,מזכרת בתיה,2,2026,277
שדרות,קרית גת,2,2026,11
קרית מוצקין,בת גלים,2,2026,8201
אחיהוד,רעננה מערב,2,2026,11
חוצות מפרץ,אשדוד עד הלום,2,2026,153
תל אביב ההגנה,ראשונים,2,2026,68
באר שבע צפון,"רשל""צ משה דיין",2,2026,1398
קרית אריה,רעננה מערב,2,2026,946
כפר יהושע,"נתב""ג",2,2026,372
אופקים,אחיהוד,2,2026,13
צומת חולון,כרמיאל,2,2026,40
סגולה,כפר חבד,2,2026,52
חולון וולפסון,הוד השרון,2,2026,236
בית שמש,עתלית,2,2026,27
לוד גני אביב,ירושלים/יצחק נבון,2,2026,391
עפולה,אחיהוד,2,2026,8
קיסריה פרדס חנה,חוצות מפרץ,2,2026,244
קרית חיים,חיפה מרכז,2,2026,1114
בת ים יוספטל,באר שבע צפון,2,2026,417
כפר סבא,קרית חיים,2,2026,18
אשדוד עד הלום,יבנה מערב,2,2026,3551
עכו,חדרה מערב,2,2026,537
כפר ברוך,ראשונים,2,2026,3
חדרה מערב,רעננה דרום,2,2026,290
עכו,נתניה קריית ספיר,2,2026,290
חולון וולפסון,צומת חולון,2,2026,107
יבנה מזרח,להבים רהט,2,2026,5
עכו,קרית אריה,2,2026,233
קרית אריה,צומת חולון,2,2026,256
"רשל""צ משה דיין",עפולה,2,2026,138
"נתב""ג",חיפה מרכז,2,2026,3099
בית שמש,קרית אריה,2,2026,168
ראש העין צפון,עתלית,2,2026,73
מרכזית המפרץ/קו החוף,נתיבות,2,2026,166
נתניה,בנימינה,2,2026,2741
רעננה דרום,סגולה,2,2026,68
השלום,בת ים יוספטל,2,2026,9720
מזכרת בתיה,צומת חולון,2,2026,19
בית שמש,שדרות,2,2026,115
צומת חולון,רחובות,2,2026,47
נתיבות,עפולה,2,2026,19
