FromStationName,ToStationName,Month,Year,SUM_Values_Pass
רעננה מערב,כפר חבד,1,2026,75
נתיבות,מזכרת בתיה,12,2025,13
רמלה,תא אוניברסיטה,12,2025,2738
יבנה מערב,באר יעקב,1,2026,52
דימונה,כפר יהושע,1,2026,1
בת גלים,הוד השרון,1,2026,297
אופקים,קרית מלאכי,12,2025,39
חוף הכרמל,אחיהוד,12,2025,1167
חוצות מפרץ,רעננה מערב,1,2026,15
בית שמש,דימונה,12,2025,3
רעננה דרום,השלום,1,2026,2374
קיסריה פרדס חנה,חולון וולפסון,12,2025,112
קרית מלאכי,נתניה,1,2026,229
אחיהוד,שדרות,12,2025,10
כפר ברוך,באר שבע צפון,1,2026,49
בנימינה,לוד גני אביב,12,2025,59
לוד,נתיבות,12,2025,544
קיסריה פרדס חנה,נתניה,12,2025,3022
ראשונים,בת ים קוממיות,12,2025,3
תל אביב ההגנה,בת גלים,1,2026,3168
ירושלים/יצחק נבון,ראש העין צפון,1,2026,1906
חוצות מפרץ,נתניה,12,2025,377
באר שבע מרכז,חוצות מפרץ,12,2025,214
נתיבות,אופקים,1,2026,2178
בית שאן,חוף הכרמל,1,2026,2070
אופקים,רמלה,12,2025,86
הרצליה,לוד גני אביב,12,2025,664
יבנה מערב,ראשונים,12,2025,3
לוד גני אביב,תל אביב מרכז,12,2025,3924
אשקלון,תל אביב ההגנה,12,2025,8380
"רשל""צ משה דיין",הוד השרון,1,2026,1069
כפר ברוך,קיסריה פרדס חנה,1,2026,11
נהריה,מרכזית המפרץ/קו החוף,1,2026,23869
עפולה,קרית גת,12,2025,126
השלום,כרמיאל,12,2025,7026
כפר חבד,תל אביב ההגנה,1,2026,1652
"רשל""צ משה דיין",חולון וולפסון,12,2025,563
מודיעין מרכז,להבים רהט,1,2026,65
יבנה מזרח,מרכזית המפרץ/קו החוף,1,2026,84
תא אוניברסיטה,סגולה,1,2026,2310
אופקים,הוד השרון,12,2025,244
רמלה,עפולה,12,2025,97
כפר ברוך,תל אביב מרכז,1,2026,1126
כפר סבא,חוף הכרמל,12,2025,844
בית יהושע,כפר חבד,12,2025,239
באר יעקב,כפר חבד,12,2025,113
תל אביב ההגנה,קרית מוצקין,12,2025,3818
אופקים,חיפה מרכז,12,2025,97
קרית אריה,סגולה,1,2026,270
בת ים יוספטל,יבנה מזרח,12,2025,15
"נתב""ג",בת גלים,12,2025,2850
תל אביב ההגנה,באר שבע צפון,12,2025,7124
בנימינה,סגולה,12,2025,406
הרצליה,כפר סבא,12,2025,1659
נתיבות,בני ברק,1,2026,529
מרכזית המפרץ/קו החוף,רחובות,12,2025,1158
רמלה,"נתב""ג",12,2025,345
מרכזית המפרץ/קו החוף,בית יהושע,1,2026,632
נהריה,בת גלים,1,2026,9730
בית שאן,חולון וולפסון,1,2026,23
חוצות מפרץ,אחיהוד,12,2025,209
עתלית,חולון וולפסון,12,2025,85
נהריה,דימונה,12,2025,11
הוד השרון,פאתי מודיעין,12,2025,48
לוד גני אביב,רמלה,1,2026,196
חיפה מרכז,חדרה מערב,1,2026,1897
השלום,"נתב""ג",1,2026,12277
נהריה,ירושלים/יצחק נבון,1,2026,4388
מודיעין מרכז,מזכרת בתיה,12,2025,88
קרית גת,יבנה מזרח,1,2026,21
כפר חבד,בנימינה,12,2025,284
נתניה קריית ספיר,עכו,12,2025,333
לוד,נהריה,1,2026,710
ראש העין צפון,נתיבות,12,2025,249
השלום,תל אביב ההגנה,1,2026,4196
כפר ברוך,אשקלון,1,2026,57
בת ים קוממיות,מרכזית המפרץ/קו החוף,12,2025,290
אחיהוד,בית שאן,12,2025,8
סגולה,באר יעקב,1,2026,23
צומת חולון,קרית אריה,1,2026,246
כפר סבא,מודיעין מרכז,12,2025,278
עתלית,אופקים,12,2025,39
באר שבע מרכז,תל אביב ההגנה,1,2026,7704
ראש העין צפון,קרית גת,1,2026,316
לוד גני אביב,"נתב""ג",12,2025,267
רעננה דרום,עתלית,1,2026,9
חדרה מערב,באר יעקב,1,2026,412
"נתב""ג",עפולה,12,2025,1636
הרצליה,"נתב""ג",1,2026,8621
עכו,כפר יהושע,12,2025,128
תל אביב מרכז,פאתי מודיעין,1,2026,7301
רחובות,חדרה מערב,1,2026,2183
בני ברק,יבנה מערב,1,2026,1261
נהריה,להבים רהט,1,2026,137
כפר חבד,עפולה,1,2026,47
בני ברק,חוצות מפרץ,12,2025,50
"נתב""ג",בית שמש,1,2026,328
ראשונים,יבנה מזרח,12,2025,12
רמלה,תל אביב ההגנה,12,2025,3308
חוצות מפרץ,שדרות,1,2026,56
רעננה מערב,בית שמש,12,2025,82
הוד השרון,קיסריה פרדס חנה,1,2026,232
קרית חיים,עכו,12,2025,910
אשקלון,בית שאן,1,2026,119
תל אביב ההגנה,יבנה מערב,12,2025,5142
חולון וולפסון,באר יעקב,12,2025,43
קרית מלאכי,חולון וולפסון,1,2026,48
בני ברק,קרית גת,1,2026,114
חיפה מרכז,בנימינה,1,2026,3218
בת ים יוספטל,עתלית,1,2026,33
ראשונים,קרית אריה,1,2026,5
שדרות,קיסריה פרדס חנה,12,2025,173
בנימינה,עתלית,12,2025,693
תא אוניברסיטה,באר שבע מרכז,1,2026,3694
חולון וולפסון,קרית אריה,1,2026,283
יבנה מערב,נהריה,12,2025,419
מודיעין מרכז,ראשונים,12,2025,10
באר יעקב,אחיהוד,12,2025,9
תא אוניברסיטה,מזכרת בתיה,12,2025,2985
בת גלים,ראש העין צפון,1,2026,312
ירושלים/יצחק נבון,רחובות,12,2025,1574
דימונה,שדרות,1,2026,4
מודיעין מרכז,חוף הכרמל,12,2025,2244
חיפה מרכז,באר שבע מרכז,1,2026,860
שדרות,אשדוד עד הלום,12,2025,3974
הרצליה,ראשונים,1,2026,198
חוצות מפרץ,בת ים קוממיות,1,2026,57
כפר ברוך,בית יהושע,1,2026,25
נהריה,תל אביב מרכז,12,2025,10451
אחיהוד,כפר יהושע,12,2025,4
כפר יהושע,קרית מלאכי,12,2025,17
השלום,יבנה מזרח,12,2025,5451
עפולה,קרית מלאכי,12,2025,46
"נתב""ג",ירושלים/יצחק נבון,1,2026,44769
חיפה מרכז,כפר חבד,12,2025,117
קיסריה פרדס חנה,יבנה מערב,1,2026,181
בנימינה,בת ים יוספטל,12,2025,616
שדרות,דימונה,1,2026,3
באר שבע צפון,באר יעקב,12,2025,232
רעננה מערב,הוד השרון,1,2026,428
הוד השרון,קרית גת,1,2026,111
כרמיאל,"נתב""ג",1,2026,2471
עתלית,אחיהוד,12,2025,14
בנימינה,באר שבע צפון,1,2026,1228
יבנה מזרח,אשקלון,1,2026,1012
לוד,בית שמש,1,2026,2171
להבים רהט,כפר יהושע,1,2026,8
כפר יהושע,סגולה,12,2025,24
"רשל""צ משה דיין",בית יהושע,12,2025,975
בנימינה,כפר סבא,1,2026,548
סגולה,בת ים יוספטל,1,2026,672
להבים רהט,קרית מלאכי,1,2026,161
קרית אריה,תא אוניברסיטה,1,2026,5424
באר יעקב,בנימינה,12,2025,557
דימונה,מרכזית המפרץ/קו החוף,1,2026,23
תל אביב מרכז,חוף הכרמל,12,2025,33210
נהריה,"נתב""ג",12,2025,8695
כפר סבא,כפר יהושע,1,2026,16
קרית אריה,קרית מוצקין,1,2026,412
בת גלים,כפר סבא,1,2026,368
רעננה מערב,נתניה,1,2026,493
מודיעין מרכז,באר יעקב,12,2025,67
קיסריה פרדס חנה,רעננה מערב,1,2026,314
כפר ברוך,רעננה דרום,1,2026,22
בית שאן,להבים רהט,12,2025,101
יבנה מערב,בת ים קוממיות,1,2026,1516
יבנה מערב,מודיעין מרכז,1,2026,353
